DataMeta;LojaID;Categoria;MetaReceita;MetaMargem
2024-02-01;4;Beleza;4817,64;1820,73
2024-02-01;4;Esporte;1409,30;640,89
2024-02-01;5;Eletronicos;1363,95;617,00
2024-02-01;5;Casa;2228,54;844,08
2024-02-01;5;Moda;3784,12;1556,41
2024-02-01;5;Beleza;1983,07;848,98
2024-02-01;5;Esporte;4294,59;1831,22
2024-02-01;6;Eletronicos;3531,46;1586,94
2024-02-01;6;Casa;3673,33;1486,74
2024-02-01;6;Moda;956,29;399,90
2024-02-01;6;Beleza;1024,34;385,05
2024-02-01;6;Esporte;2831,58;1257,27
2024-02-01;7;Eletronicos;4135,89;1613,28
2024-02-01;7;Casa;2273,23;922,16
2024-02-01;7;Moda;9070,89;3836,97
2024-02-01;7;Beleza;5219,55;2025,53
2024-02-01;7;Esporte;2804,74;1257,21
2024-02-01;8;Eletronicos;1064,64;420,55
2024-02-01;8;Casa;972,68;423,06
2024-02-01;8;Moda;3832,30;1608,67
2024-02-01;8;Beleza;1844,70;742,38
2024-02-01;8;Esporte;1644,05;651,38
2024-02-01;9;Eletronicos;4479,67;2042,75
2024-02-01;9;Casa;4601,34;2002,34
2024-02-01;9;Moda;2668,64;1204,51
2024-02-01;9;Beleza;2201,88;866,52
2024-02-01;9;Esporte;3565,02;1304,93
2024-02-01;10;Eletronicos;1971,97;826,69
2024-02-01;10;Casa;2512,02;1026,02
2024-02-01;10;Moda;5277,69;2151,82
2024-02-01;10;Beleza;1306,93;572,98
2024-02-01;10;Esporte;4055,36;1650,18
2024-02-01;11;Eletronicos;2762,43;1004,51
2024-02-01;11;Casa;4840,15;1869,60
2024-02-01;11;Moda;2229,81;860,56
2024-02-01;11;Beleza;3641,34;1425,91
2024-02-01;11;Esporte;2053,36;755,67
2024-02-01;12;Eletronicos;2996,82;1244,55
2024-02-01;12;Casa;2921,81;1111,82
2024-02-01;12;Moda;6685,16;2705,02
2024-02-01;12;Beleza;2420,96;925,84
2024-02-01;12;Esporte;2460,78;1124,56
2024-03-01;1;Eletronicos;2951,42;1192,64
2024-03-01;1;Casa;4417,85;1628,93
2024-03-01;1;Moda;4404,59;1774,79
2024-03-01;1;Beleza;2525,70;959,04
2024-03-01;1;Esporte;1446,25;643,59
2024-03-01;2;Eletronicos;5181,61;1874,14
2024-03-01;2;Casa;1359,08;547,56
2024-03-01;2;Moda;3371,98;1462,04
2024-03-01;2;Beleza;2363,78;996,69
2024-03-01;2;Esporte;4629,97;1725,11
2024-03-01;3;Eletronicos;3345,40;1285,28
2024-03-01;3;Casa;2124,46;801,16
2024-03-01;3;Moda;3334,02;1502,13
2024-03-01;3;Beleza;2307,43;973,86
2024-03-01;3;Esporte;2592,62;938,17
2024-03-01;4;Eletronicos;2614,92;957,95
2024-03-01;4;Casa;3644,82;1549,19
2024-03-01;4;Moda;3607,43;1301,33
2024-03-01;4;Beleza;1908,54;850,90
2024-03-01;4;Esporte;3217,93;1437,54
2024-03-01;5;Eletronicos;4341,01;1936,06
2024-03-01;5;Casa;3586,01;1598,42
2024-03-01;5;Moda;5555,33;2519,00
2024-03-01;5;Beleza;3342,03;1209,97
2024-03-01;5;Esporte;1966,50;904,38
2024-03-01;6;Eletronicos;1913,57;697,48
2024-03-01;6;Casa;2476,99;986,61
2024-03-01;6;Moda;5736,70;2383,34
2024-03-01;6;Beleza;5674,15;2283,96
2024-03-01;6;Esporte;2840,61;1025,73
2024-03-01;7;Eletronicos;4509,58;1670,30
2024-03-01;7;Casa;5971,05;2602,19
2024-03-01;7;Moda;5068,07;2173,51
2024-03-01;7;Beleza;1933,78;785,33
2024-03-01;7;Esporte;2080,69;840,69
2024-03-01;8;Eletronicos;5742,77;2205,70
2024-03-01;8;Casa;7176,55;3066,81
2024-03-01;8;Moda;4135,15;1548,37
2024-03-01;8;Beleza;2914,20;1154,49
2024-03-01;8;Esporte;7404,21;3093,21
2024-03-01;9;Eletronicos;4121,59;1700,21
2024-03-01;9;Casa;4149,99;1584,18
2024-03-01;9;Moda;1348,07;592,58
2024-03-01;9;Beleza;6983,80;3123,54
2024-03-01;9;Esporte;6875,13;3076,52
2024-03-01;10;Eletronicos;2246,36;854,67
2024-03-01;10;Casa;2574,55;996,80
2024-03-01;10;Moda;4803,82;1885,40
2024-03-01;10;Beleza;2286,08;976,87
2024-03-01;10;Esporte;1987,82;912,98
2024-03-01;11;Eletronicos;4620,64;2099,90
2024-03-01;11;Casa;4460,75;1922,57
2024-03-01;11;Moda;2341,46;1033,42
2024-03-01;11;Beleza;4614,92;1694,44
2024-03-01;11;Esporte;5212,46;2316,17
2024-03-01;12;Eletronicos;4078,91;1712,01
2024-03-01;12;Casa;3046,37;1302,49
2024-03-01;12;Moda;2793,30;1154,60
2024-03-01;12;Beleza;3996,54;1745,18
2024-03-01;12;Esporte;1995,02;790,82
2024-04-01;1;Eletronicos;3393,73;1222,37
2024-04-01;1;Casa;1690,60;774,69
2024-04-01;1;Moda;4389,19;1993,05
2024-04-01;1;Beleza;3610,20;1521,22
2024-04-01;1;Esporte;5172,79;1931,21
2024-04-01;2;Eletronicos;3149,85;1150,43
2024-04-01;2;Casa;2402,77;1072,31
2024-04-01;2;Moda;1527,20;562,84
2024-04-01;2;Beleza;1623,57;706,34
2024-04-01;2;Esporte;3131,41;1353,86
2024-04-01;3;Eletronicos;2806,48;1065,76
2024-04-01;3;Casa;2282,63;914,18
2024-04-01;3;Moda;4764,41;1880,39
2024-04-01;3;Beleza;3440,69;1394,38
2024-04-01;3;Esporte;2360,03;924,52
2024-04-01;4;Eletronicos;1271,27;571,88
2024-04-01;4;Casa;2065,81;746,00
2024-04-01;4;Moda;2647,80;1111,33
2024-04-01;4;Beleza;1328,04;568,56
2024-04-01;4;Esporte;1382,28;514,86
2024-04-01;5;Eletronicos;1758,79;685,83
2024-04-01;5;Casa;7705,47;2868,51
2024-04-01;5;Moda;4535,58;1912,99
2024-04-01;5;Beleza;3232,83;1336,06
2024-04-01;5;Esporte;3215,83;1479,09
2024-04-01;6;Eletronicos;3451,63;1362,88
2024-04-01;6;Casa;2424,85;1042,83
2024-04-01;6;Moda;8264,78;3254,18
2024-04-01;6;Beleza;4748,91;2173,43
2024-04-01;6;Esporte;5503,77;2137,70
2024-04-01;7;Eletronicos;3009,51;1378,64
2024-04-01;7;Casa;3262,46;1318,08
2024-04-01;7;Moda;2405,93;1015,89
2024-04-01;7;Beleza;2657,84;1065,67
2024-04-01;7;Esporte;6067,12;2675,19
2024-04-01;8;Eletronicos;1161,21;431,65
2024-04-01;8;Casa;1419,32;571,01
2024-04-01;8;Moda;3488,25;1572,37
2024-04-01;8;Beleza;1691,11;717,98
2024-04-01;8;Esporte;2832,43;1224,93
2024-04-01;9;Eletronicos;2692,54;1032,39
2024-04-01;9;Casa;3898,02;1646,50
2024-04-01;9;Moda;9186,95;3440,91
2024-04-01;9;Beleza;1355,10;579,46
2024-04-01;9;Esporte;2872,66;1228,13
2024-04-01;10;Eletronicos;4291,06;1548,16
2024-04-01;10;Casa;2207,28;798,34
2024-04-01;10;Moda;6441,36;2639,57
2024-04-01;10;Beleza;4609,08;1940,91
2024-04-01;10;Esporte;4593,80;2031,36
2024-04-01;11;Eletronicos;5329,26;2028,52
2024-04-01;11;Casa;5816,12;2107,89
2024-04-01;11;Moda;3083,86;1292,35
2024-04-01;11;Beleza;3465,51;1462,03
2024-04-01;11;Esporte;2040,05;897,63
2024-04-01;12;Eletronicos;3729,26;1426,92
2024-04-01;12;Casa;1386,20;512,88
2024-04-01;12;Moda;4934,03;1914,96
2024-04-01;12;Beleza;803,95;293,66
2024-04-01;12;Esporte;3053,59;1133,83
2024-05-01;1;Eletronicos;5331,33;2129,58
2024-05-01;1;Casa;4908,27;1791,21
2024-05-01;1;Moda;9523,10;3814,94
2024-05-01;1;Beleza;4841,64;1779,09
2024-05-01;1;Esporte;3317,35;1521,85
2024-05-01;2;Eletronicos;5167,24;2150,38
2024-05-01;2;Casa;3998,44;1795,61
2024-05-01;2;Moda;5506,09;2212,73
2024-05-01;2;Beleza;1381,29;561,58
2024-05-01;2;Esporte;1906,64;701,19
2024-05-01;3;Eletronicos;7856,15;3280,19
2024-05-01;3;Casa;5693,63;2138,24
2024-05-01;3;Moda;5706,51;2168,08
2024-05-01;3;Beleza;3042,15;1395,72
2024-05-01;3;Esporte;3626,62;1374,66
2024-05-01;4;Eletronicos;3872,68;1671,67
2024-05-01;4;Casa;3727,24;1441,95
2024-05-01;4;Moda;5197,97;2003,02
2024-05-01;4;Beleza;2050,01;764,45
2024-05-01;4;Esporte;3603,14;1529,37
2024-05-01;5;Eletronicos;1990,78;752,88
2024-05-01;5;Casa;5760,74;2632,63
2024-05-01;5;Moda;4223,26;1937,88
2024-05-01;5;Beleza;4330,28;1979,81
2024-05-01;5;Esporte;3163,86;1190,68
2024-05-01;6;Eletronicos;2206,77;839,57
2024-05-01;6;Casa;3050,66;1289,60
2024-05-01;6;Moda;4126,59;1766,64
2024-05-01;6;Beleza;4718,44;1757,73
2024-05-01;6;Esporte;507,48;224,33
2024-05-01;7;Eletronicos;499,66;202,76
2024-05-01;7;Casa;2047,63;913,01
2024-05-01;7;Moda;2477,46;989,91
2024-05-01;7;Beleza;0,00;0,00
2024-05-01;7;Esporte;1300,20;583,16
2024-05-01;8;Eletronicos;5009,00;2180,12
2024-05-01;8;Casa;5849,09;2618,22
2024-05-01;8;Moda;4419,69;1914,42
2024-05-01;8;Beleza;1709,46;713,39
2024-05-01;8;Esporte;2226,84;941,05
2024-05-01;9;Eletronicos;2075,81;866,89
2024-05-01;9;Casa;3107,21;1140,14
2024-05-01;9;Moda;4531,81;1766,05
2024-05-01;9;Beleza;2332,02;1014,76
2024-05-01;9;Esporte;1818,70;742,09
2024-05-01;10;Eletronicos;2156,33;890,85
2024-05-01;10;Casa;1543,16;679,88
2024-05-01;10;Moda;5215,26;1880,85
2024-05-01;10;Beleza;297,42;134,36
2024-05-01;10;Esporte;3408,87;1512,41
2024-05-01;11;Eletronicos;2382,34;1084,05
2024-05-01;11;Casa;1061,46;480,89
2024-05-01;11;Moda;8179,40;3432,90
2024-05-01;11;Beleza;2328,80;967,22
2024-05-01;11;Esporte;1759,52;802,13
2024-05-01;12;Eletronicos;1324,95;558,39
2024-05-01;12;Casa;1722,62;786,93
2024-05-01;12;Moda;1950,60;882,96
2024-05-01;12;Beleza;2002,05;881,31
2024-05-01;12;Esporte;2186,06;797,30
2024-06-01;1;Eletronicos;2498,39;1064,17
2024-06-01;1;Casa;2674,34;1066,27
2024-06-01;1;Moda;1755,24;764,97
2024-06-01;1;Beleza;3830,27;1723,76
2024-06-01;1;Esporte;3636,72;1380,59
2024-06-01;2;Eletronicos;1890,44;772,17
2024-06-01;2;Casa;2200,93;951,85
2024-06-01;2;Moda;2040,45;888,56
2024-06-01;2;Beleza;3218,13;1237,14
2024-06-01;2;Esporte;2349,87;989,30
2024-06-01;3;Eletronicos;2104,37;950,95
2024-06-01;3;Casa;3689,32;1358,91
2024-06-01;3;Moda;2914,45;1174,57
2024-06-01;3;Beleza;947,53;385,62
2024-06-01;3;Esporte;4396,55;1713,74
2024-06-01;4;Eletronicos;3175,55;1228,89
2024-06-01;4;Casa;5120,82;2206,74
2024-06-01;4;Moda;4708,98;1780,95
2024-06-01;4;Beleza;1655,25;673,18
2024-06-01;4;Esporte;2576,59;1163,41
2024-06-01;5;Eletronicos;2435,34;1108,40
2024-06-01;5;Casa;5979,01;2593,60
2024-06-01;5;Moda;3907,30;1424,55
2024-06-01;5;Beleza;5099,79;2296,73
2024-06-01;5;Esporte;1088,80;496,80
2024-06-01;6;Eletronicos;3273,80;1397,83
2024-06-01;6;Casa;2221,47;849,83
2024-06-01;6;Moda;857,90;347,16
2024-06-01;6;Beleza;4222,06;1783,42
2024-06-01;6;Esporte;3094,49;1389,50
2024-06-01;7;Eletronicos;3803,55;1498,39
2024-06-01;7;Casa;3303,21;1424,13
2024-06-01;7;Moda;1588,21;685,09
2024-06-01;7;Beleza;4751,38;2116,97
2024-06-01;7;Esporte;6362,28;2826,03
2024-06-01;8;Eletronicos;4178,18;1529,55
2024-06-01;8;Casa;1919,64;866,43
2024-06-01;8;Moda;6198,54;2275,66
2024-06-01;8;Beleza;2294,17;974,72
2024-06-01;8;Esporte;5197,89;2290,20
2024-06-01;9;Eletronicos;2690,74;973,40
2024-06-01;9;Casa;2971,29;1230,03
2024-06-01;9;Moda;2545,72;1062,14
2024-06-01;9;Beleza;2129,99;906,33
2024-06-01;9;Esporte;3386,89;1552,76
2024-06-01;10;Eletronicos;5145,51;2164,33
2024-06-01;10;Casa;1837,85;680,29
2024-06-01;10;Moda;4779,71;2013,63
2024-06-01;10;Beleza;1448,16;652,43
2024-06-01;10;Esporte;2949,29;1124,88
2024-06-01;11;Eletronicos;3516,40;1560,87
2024-06-01;11;Casa;1642,07;717,40
2024-06-01;11;Moda;3504,02;1447,11
2024-06-01;11;Beleza;1563,52;705,04
2024-06-01;11;Esporte;3013,91;1181,70
2024-06-01;12;Eletronicos;1395,48;533,36
2024-06-01;12;Casa;3385,05;1528,08
2024-06-01;12;Moda;5224,42;2111,67
2024-06-01;12;Beleza;4197,56;1557,27
2024-06-01;12;Esporte;4013,32;1665,69
2024-07-01;1;Eletronicos;487,67;193,67
2024-07-01;1;Casa;4736,67;2119,85
2024-07-01;1;Moda;2989,35;1078,95
2024-07-01;1;Beleza;2988,28;1356,25
2024-07-01;1;Esporte;2484,04;991,10
2024-07-01;2;Eletronicos;1922,71;869,86
2024-07-01;2;Casa;2483,00;944,66
2024-07-01;2;Moda;4327,56;1787,92
2024-07-01;2;Beleza;1258,51;498,58
2024-07-01;2;Esporte;2714,00;1012,90
2024-07-01;3;Eletronicos;3295,43;1234,93
2024-07-01;3;Casa;3448,71;1559,17
2024-07-01;3;Moda;4664,88;1968,48
2024-07-01;3;Beleza;5896,43;2580,09
2024-07-01;3;Esporte;3533,18;1422,33
2024-07-01;4;Eletronicos;3318,03;1272,06
2024-07-01;4;Casa;6287,80;2490,05
2024-07-01;4;Moda;6197,07;2509,35
2024-07-01;4;Beleza;2911,07;1269,63
2024-07-01;4;Esporte;1559,57;680,01
2024-07-01;5;Eletronicos;5765,02;2343,03
2024-07-01;5;Casa;3664,20;1482,47
2024-07-01;5;Moda;6659,29;2960,22
2024-07-01;5;Beleza;1279,31;576,92
2024-07-01;5;Esporte;3427,44;1314,23
2024-07-01;6;Eletronicos;2847,26;1242,98
2024-07-01;6;Casa;4142,25;1533,67
2024-07-01;6;Moda;7160,54;2665,77
2024-07-01;6;Beleza;2073,95;890,78
2024-07-01;6;Esporte;3530,21;1555,29
2024-07-01;7;Eletronicos;1644,51;679,36
2024-07-01;7;Casa;1460,77;621,82
2024-07-01;7;Moda;7606,39;3137,27
2024-07-01;7;Beleza;299,86;132,92
2024-07-01;7;Esporte;1808,45;698,65
2024-07-01;8;Eletronicos;7341,62;2649,87
2024-07-01;8;Casa;1941,32;891,56
2024-07-01;8;Moda;3395,10;1508,41
2024-07-01;8;Beleza;6257,61;2647,97
2024-07-01;8;Esporte;2169,53;995,43
2024-07-01;9;Eletronicos;2544,85;955,13
2024-07-01;9;Casa;2532,00;1132,85
2024-07-01;9;Moda;5324,19;2385,74
2024-07-01;9;Beleza;692,34;317,65
2024-07-01;9;Esporte;2045,75;917,72
2024-07-01;10;Eletronicos;2627,73;1116,12
2024-07-01;10;Casa;4467,35;1896,86
2024-07-01;10;Moda;526,40;205,14
2024-07-01;10;Beleza;1330,00;526,55
2024-07-01;10;Esporte;1907,36;871,52
2024-07-01;11;Eletronicos;4634,16;2067,52
2024-07-01;11;Casa;7300,08;3010,98
2024-07-01;11;Moda;6012,09;2333,92
2024-07-01;11;Beleza;3574,62;1561,45
2024-07-01;11;Esporte;3266,63;1325,28
2024-07-01;12;Eletronicos;2153,62;849,38
2024-07-01;12;Casa;2743,83;1113,18
2024-07-01;12;Moda;7223,61;2831,21
2024-07-01;12;Beleza;2863,11;1250,72
2024-07-01;12;Esporte;5547,51;2441,75
2024-08-01;1;Eletronicos;465,91;181,86
2024-08-01;1;Casa;4102,94;1682,02
2024-08-01;1;Moda;4163,03;1684,82
2024-08-01;1;Beleza;5573,96;2435,34
2024-08-01;1;Esporte;2917,48;1178,69
2024-08-01;2;Eletronicos;7331,92;2968,40
2024-08-01;2;Casa;5322,27;2048,68
2024-08-01;2;Moda;7173,91;3094,34
2024-08-01;2;Beleza;1021,06;388,02
2024-08-01;2;Esporte;6382,59;2831,73
2024-08-01;3;Eletronicos;5197,69;2317,86
2024-08-01;3;Casa;4815,58;2056,91
2024-08-01;3;Moda;6922,02;2639,02
2024-08-01;3;Beleza;2903,21;1287,49
2024-08-01;3;Esporte;3208,66;1340,78
2024-08-01;4;Eletronicos;2475,69;1099,97
2024-08-01;4;Casa;2228,23;949,43
2024-08-01;4;Moda;2134,58;932,79
2024-08-01;4;Beleza;2473,06;1053,68
2024-08-01;4;Esporte;2816,33;1183,78
2024-08-01;5;Eletronicos;2060,67;789,65
2024-08-01;5;Casa;947,31;376,16
2024-08-01;5;Moda;7114,11;2798,36
2024-08-01;5;Beleza;1320,59;578,52
2024-08-01;5;Esporte;2617,83;1022,24
2024-08-01;6;Eletronicos;4545,85;1692,37
2024-08-01;6;Casa;2479,24;1015,29
2024-08-01;6;Moda;497,12;180,50
2024-08-01;6;Beleza;6515,55;2766,78
2024-08-01;6;Esporte;1832,07;677,58
2024-08-01;7;Eletronicos;3169,68;1331,27
2024-08-01;7;Casa;2193,86;976,95
2024-08-01;7;Moda;5145,65;2135,17
2024-08-01;7;Beleza;1061,43;463,16
2024-08-01;7;Esporte;4384,44;1896,47
2024-08-01;8;Eletronicos;2725,67;1004,85
2024-08-01;8;Casa;1329,54;583,56
2024-08-01;8;Moda;4296,08;1686,77
2024-08-01;8;Beleza;2927,08;1221,27
2024-08-01;8;Esporte;3684,47;1669,85
2024-08-01;9;Eletronicos;5431,99;2366,60
2024-08-01;9;Casa;3714,27;1657,25
2024-08-01;9;Moda;2194,87;947,46
2024-08-01;9;Beleza;4556,09;1898,36
2024-08-01;9;Esporte;5222,75;2396,55
2024-08-01;10;Eletronicos;2408,98;930,27
2024-08-01;10;Casa;3422,90;1353,78
2024-08-01;10;Moda;2373,22;1022,94
2024-08-01;10;Beleza;3945,16;1486,24
2024-08-01;10;Esporte;6854,80;3137,07
2024-08-01;11;Eletronicos;3383,14;1465,55
2024-08-01;11;Casa;5624,22;2340,08
2024-08-01;11;Moda;5928,61;2687,20
2024-08-01;11;Beleza;4351,40;1968,33
2024-08-01;11;Esporte;2160,70;850,00
2024-08-01;12;Eletronicos;1117,85;403,84
2024-08-01;12;Casa;1948,21;725,32
2024-08-01;12;Moda;2243,41;914,15
2024-08-01;12;Beleza;2872,54;1137,13
2024-08-01;12;Esporte;3009,80;1199,82
2024-09-01;1;Eletronicos;10399,60;3978,38
2024-09-01;1;Casa;4353,91;1683,86
2024-09-01;1;Moda;4129,02;1523,00
2024-09-01;1;Beleza;2978,99;1272,25
2024-09-01;1;Esporte;1416,94;548,94
2024-09-01;2;Eletronicos;5475,65;2224,29
2024-09-01;2;Casa;1169,98;503,22
2024-09-01;2;Moda;2084,43;777,12
2024-09-01;2;Beleza;3197,95;1438,01
2024-09-01;2;Esporte;2531,82;1101,64
2024-09-01;3;Eletronicos;396,85;163,49
2024-09-01;3;Casa;978,07;353,87
2024-09-01;3;Moda;2271,80;972,24
2024-09-01;3;Beleza;5499,75;2283,79
2024-09-01;3;Esporte;1325,15;539,79
2024-09-01;4;Eletronicos;1405,47;572,86
2024-09-01;4;Casa;2761,20;1099,18
2024-09-01;4;Moda;3041,35;1269,81
2024-09-01;4;Beleza;4178,66;1773,79
2024-09-01;4;Esporte;3555,44;1555,67
2024-09-01;5;Eletronicos;3785,16;1499,95
2024-09-01;5;Casa;3128,79;1381,68
2024-09-01;5;Moda;1069,27;386,08
2024-09-01;5;Beleza;5389,88;2350,16
2024-09-01;5;Esporte;2545,00;939,28
2024-09-01;6;Eletronicos;1648,14;735,84
2024-09-01;6;Casa;3117,01;1259,62
2024-09-01;6;Moda;2359,51;1065,73
2024-09-01;6;Beleza;2793,75;1229,87
2024-09-01;6;Esporte;3911,47;1659,35
2024-09-01;7;Eletronicos;4880,90;2086,84
2024-09-01;7;Casa;4905,23;1768,12
2024-09-01;7;Moda;5757,17;2530,93
2024-09-01;7;Beleza;2788,51;1158,78
2024-09-01;7;Esporte;3625,27;1369,35
2024-09-01;8;Eletronicos;4156,23;1575,06
2024-09-01;8;Casa;3279,02;1318,84
2024-09-01;8;Moda;4572,70;1789,16
2024-09-01;8;Beleza;2031,61;778,46
2024-09-01;8;Esporte;2867,21;1274,90
2024-09-01;9;Eletronicos;3079,01;1387,49
2024-09-01;9;Casa;2531,80;1145,54
2024-09-01;9;Moda;3211,79;1394,98
2024-09-01;9;Beleza;4643,06;1736,84
2024-09-01;9;Esporte;2421,32;935,86
2024-09-01;10;Eletronicos;5291,20;2123,03
2024-09-01;10;Casa;976,40;428,01
2024-09-01;10;Moda;2690,18;1166,17
2024-09-01;10;Beleza;1660,70;707,13
2024-09-01;10;Esporte;5180,38;2204,68
2024-09-01;11;Eletronicos;4969,87;2071,68
2024-09-01;11;Casa;4517,37;1968,54
2024-09-01;11;Moda;1288,71;499,33
2024-09-01;11;Beleza;2324,71;973,43
2024-09-01;11;Esporte;3791,17;1476,71
2024-09-01;12;Eletronicos;5532,52;2376,42
2024-09-01;12;Casa;3207,06;1467,68
2024-09-01;12;Moda;3188,01;1232,32
2024-09-01;12;Beleza;2362,03;964,66
2024-09-01;12;Esporte;4321,16;1811,32
2024-10-01;1;Eletronicos;2938,70;1322,63
2024-10-01;1;Casa;1603,63;647,89
2024-10-01;1;Moda;3574,20;1371,56
2024-10-01;1;Beleza;4356,28;1965,74
2024-10-01;1;Esporte;5138,97;2115,83
2024-10-01;2;Eletronicos;3793,00;1530,48
2024-10-01;2;Casa;4390,90;1891,70
2024-10-01;2;Moda;8811,46;3286,14
2024-10-01;2;Beleza;3255,94;1471,26
2024-10-01;2;Esporte;4502,14;1745,93
2024-10-01;3;Eletronicos;4836,52;1925,39
2024-10-01;3;Casa;1699,90;692,67
2024-10-01;3;Moda;8197,55;3719,57
2024-10-01;3;Beleza;2870,14;1191,98
2024-10-01;3;Esporte;1651,37;666,50
2024-10-01;4;Eletronicos;4577,28;1822,23
2024-10-01;4;Casa;2569,95;1101,29
2024-10-01;4;Moda;2354,83;891,49
2024-10-01;4;Beleza;3282,06;1229,90
2024-10-01;4;Esporte;854,00;355,15
2024-10-01;5;Eletronicos;4497,07;1729,75
2024-10-01;5;Casa;4393,79;1957,16
2024-10-01;5;Moda;4435,33;2031,27
2024-10-01;5;Beleza;1704,19;775,01
2024-10-01;5;Esporte;2998,78;1137,69
2024-10-01;6;Eletronicos;3957,31;1766,75
2024-10-01;6;Casa;7372,58;3090,43
2024-10-01;6;Moda;4843,65;2065,94
2024-10-01;6;Beleza;3597,35;1550,22
2024-10-01;6;Esporte;7453,56;3361,45
2024-10-01;7;Eletronicos;2303,93;856,52
2024-10-01;7;Casa;5166,84;2055,18
2024-10-01;7;Moda;3079,51;1278,39
2024-10-01;7;Beleza;2116,74;941,83
2024-10-01;7;Esporte;1909,43;699,67
2024-10-01;8;Eletronicos;1626,80;644,41
2024-10-01;8;Casa;3370,48;1440,03
2024-10-01;8;Moda;2607,18;945,01
2024-10-01;8;Beleza;909,64;346,91
2024-10-01;8;Esporte;6200,79;2405,08
2024-10-01;9;Eletronicos;1152,89;492,20
2024-10-01;9;Casa;4073,21;1834,75
2024-10-01;9;Moda;6100,25;2557,60
2024-10-01;9;Beleza;4309,24;1868,33
2024-10-01;9;Esporte;2251,39;926,78
2024-10-01;10;Eletronicos;3539,66;1352,30
2024-10-01;10;Casa;6484,49;2880,84
2024-10-01;10;Moda;2888,86;1158,20
2024-10-01;10;Beleza;3266,64;1194,40
2024-10-01;10;Esporte;2868,09;1269,00
