DevolucaoID;VendaItemID;DataDevolucao;Motivo;QuantidadeDevolvida
82;2097;2024-02-21;Tamanho;2
83;2113;2025-04-30;Tamanho;1
84;2114;2025-05-14;Arrependimento;2
85;2115;2025-05-05;Defeito;1
86;2149;2024-02-05;Defeito;1
87;2154;2025-09-25;Tamanho;1
88;2162;2025-07-19;Arrependimento;1
89;2185;2024-05-05;Entrega atrasada;1
90;2193;2025-09-10;Entrega atrasada;1
91;2200;2024-07-11;Defeito;1
92;2254;2024-07-17;Arrependimento;1
93;2255;2024-07-15;Arrependimento;2
94;2276;2025-10-31;Entrega atrasada;1
95;2299;2024-07-09;Tamanho;1
96;2303;2024-08-29;Arrependimento;1
97;2359;2024-09-17;Tamanho;1
98;2444;2025-08-31;Tamanho;1
99;2463;2024-12-18;Arrependimento;1
100;2464;2025-07-09;Entrega atrasada;1
101;2473;2024-09-02;Tamanho;1
102;2483;2025-10-04;Arrependimento;1
103;2494;2024-05-21;Defeito;2
104;2500;2025-07-03;Arrependimento;1
105;2515;2025-02-08;Arrependimento;1
106;2534;2024-03-22;Arrependimento;1
107;2537;2025-04-24;Tamanho;1
108;2548;2024-12-22;Entrega atrasada;1
109;2640;2025-09-17;Defeito;2
110;2676;2024-06-03;Entrega atrasada;1
111;2712;2025-11-25;Entrega atrasada;1
112;2727;2024-03-06;Tamanho;2
113;2729;2024-11-25;Arrependimento;1
114;2735;2025-08-20;Arrependimento;2
115;2755;2024-05-06;Tamanho;1
116;2800;2024-03-22;Arrependimento;1
117;2806;2024-02-03;Tamanho;4
118;2863;2024-02-03;Arrependimento;2
119;2905;2024-02-18;Defeito;1
120;2908;2024-07-22;Defeito;1
121;2934;2024-07-22;Tamanho;2
122;2946;2025-10-31;Entrega atrasada;1
123;2966;2024-07-04;Tamanho;1
124;2991;2025-02-27;Tamanho;1
125;3011;2025-11-23;Entrega atrasada;1
126;3037;2024-01-21;Entrega atrasada;1
127;3041;2025-09-29;Arrependimento;2
128;3047;2024-08-03;Entrega atrasada;1
129;3057;2025-09-01;Arrependimento;2
130;3079;2024-11-11;Defeito;1
131;3085;2025-08-15;Defeito;2
132;3107;2025-01-11;Defeito;1
133;3110;2025-03-05;Arrependimento;1
134;3116;2025-03-09;Arrependimento;4
135;3145;2024-09-10;Entrega atrasada;1
136;3158;2025-08-29;Tamanho;1
137;3163;2025-12-18;Tamanho;1
138;3166;2025-01-19;Entrega atrasada;2
139;3193;2024-01-25;Entrega atrasada;4
140;3194;2024-09-01;Defeito;1
141;3217;2025-08-20;Arrependimento;1
142;3225;2025-10-12;Arrependimento;1
143;3249;2025-03-28;Defeito;1
144;3286;2025-11-10;Tamanho;2
145;3310;2025-03-06;Entrega atrasada;1
146;3311;2025-02-20;Arrependimento;2
147;3314;2024-03-18;Arrependimento;1
148;3393;2024-11-14;Arrependimento;1
149;3394;2025-12-12;Tamanho;1
150;3412;2025-08-28;Tamanho;1
151;3430;2024-03-09;Tamanho;1
152;3435;2024-02-20;Entrega atrasada;1
153;3440;2024-07-11;Arrependimento;1
154;3455;2024-02-12;Entrega atrasada;1
155;3459;2025-05-16;Defeito;1
156;3480;2024-01-21;Arrependimento;1
157;3576;2025-09-22;Tamanho;1
158;3599;2025-02-13;Defeito;1
159;3627;2024-08-15;Entrega atrasada;1
160;3653;2025-06-17;Tamanho;1
161;3654;2024-08-20;Arrependimento;1
162;3667;2024-10-15;Tamanho;1
163;3746;2025-05-14;Defeito;1
164;3783;2024-08-02;Entrega atrasada;1
165;3815;2024-11-10;Arrependimento;1
166;3829;2025-06-02;Defeito;2
167;3861;2024-08-19;Defeito;1
168;3883;2025-05-30;Defeito;1
169;3938;2024-09-10;Defeito;1
170;3947;2025-03-29;Entrega atrasada;1
171;3968;2024-10-16;Tamanho;2
172;3989;2025-05-08;Defeito;1
173;4027;2025-04-03;Defeito;1
174;4041;2025-09-27;Tamanho;1
175;4104;2024-08-13;Tamanho;2
176;4151;2025-12-20;Arrependimento;1
177;4198;2024-12-07;Arrependimento;2
178;4229;2024-08-05;Tamanho;2
179;4289;2025-02-15;Entrega atrasada;1
180;4297;2025-10-07;Entrega atrasada;4
181;4327;2025-08-19;Tamanho;1
182;4389;2025-04-21;Defeito;1
183;4421;2025-02-15;Defeito;1
184;4475;2025-10-22;Defeito;1
185;4512;2024-08-16;Defeito;1
186;4536;2025-07-30;Arrependimento;1
187;4560;2024-10-20;Tamanho;1
188;4578;2025-09-13;Tamanho;1
189;4611;2024-11-02;Entrega atrasada;1
190;4632;2025-06-28;Arrependimento;1
191;4675;2025-11-17;Entrega atrasada;1
192;4726;2025-09-13;Arrependimento;3
193;4731;2025-02-13;Tamanho;1
194;4737;2024-10-24;Entrega atrasada;1
195;4818;2025-03-16;Defeito;1
196;4852;2025-07-18;Arrependimento;3
197;4885;2024-07-29;Entrega atrasada;1
198;4893;2025-04-18;Defeito;1
199;4897;2025-09-19;Arrependimento;1
200;4898;2024-09-20;Defeito;1
201;4945;2025-04-09;Tamanho;2
202;4965;2025-07-18;Tamanho;1
203;4980;2024-08-19;Defeito;1
204;4985;2024-05-15;Entrega atrasada;1
205;4993;2025-01-11;Arrependimento;1
206;5032;2024-07-26;Defeito;1
207;5074;2025-06-30;Defeito;1
208;5082;2024-12-02;Entrega atrasada;1
209;5109;2024-02-08;Arrependimento;1
210;5152;2025-08-13;Tamanho;2
211;5169;2025-07-20;Tamanho;1
212;5172;2024-09-06;Arrependimento;3
213;5185;2024-05-24;Entrega atrasada;1
214;5226;2025-03-22;Arrependimento;1
215;5243;2024-05-05;Arrependimento;2
216;5275;2025-08-11;Entrega atrasada;2
217;5361;2025-05-30;Tamanho;1
218;5378;2024-05-08;Defeito;1
219;5396;2025-01-26;Defeito;1
220;5413;2025-11-19;Tamanho;3
221;5418;2024-10-06;Entrega atrasada;1
222;5419;2024-09-07;Defeito;1
223;5519;2024-07-26;Tamanho;3
224;5529;2024-09-11;Arrependimento;1
225;5578;2024-09-05;Arrependimento;1
226;5597;2025-10-30;Tamanho;2
227;5640;2025-08-13;Defeito;1
228;5656;2024-02-04;Tamanho;1
229;5675;2025-08-02;Arrependimento;3
230;5708;2024-02-17;Tamanho;2
231;5714;2025-07-31;Defeito;1
232;5734;2025-12-30;Defeito;3
233;5760;2024-05-11;Arrependimento;3
234;5768;2024-04-21;Arrependimento;1
235;5823;2024-05-17;Defeito;1
236;5870;2025-09-17;Tamanho;2
237;5888;2025-08-16;Entrega atrasada;1
238;5897;2025-04-22;Tamanho;1
239;5923;2025-12-23;Tamanho;1
240;5937;2024-08-25;Arrependimento;1
241;5957;2025-03-11;Arrependimento;4
242;5973;2025-08-14;Arrependimento;1
243;6001;2025-08-01;Tamanho;1
244;6004;2025-09-17;Arrependimento;1
245;6018;2025-09-03;Defeito;1
246;6042;2025-11-28;Tamanho;2
247;6108;2024-07-11;Defeito;1
248;6154;2025-11-01;Arrependimento;1
249;6162;2025-12-02;Arrependimento;1
250;6183;2024-10-13;Tamanho;2
251;6207;2025-12-09;Defeito;1
252;6225;2025-02-20;Defeito;1
253;6227;2025-03-06;Defeito;1
254;6268;2024-11-20;Defeito;1
255;6282;2024-09-03;Arrependimento;2
256;6320;2025-04-11;Entrega atrasada;1
257;6341;2025-02-01;Defeito;1
258;6380;2025-01-22;Tamanho;2
259;6387;2024-08-09;Defeito;1
260;6410;2025-11-27;Entrega atrasada;2
261;6421;2024-05-25;Arrependimento;2
262;6425;2025-09-10;Entrega atrasada;1
263;6442;2024-07-02;Arrependimento;1
264;6444;2025-01-29;Tamanho;1
265;6453;2024-09-29;Entrega atrasada;1
266;6456;2025-10-15;Tamanho;2
267;6490;2025-12-16;Tamanho;1
268;6491;2025-05-09;Arrependimento;1
269;6528;2025-01-03;Tamanho;2
270;6534;2025-04-09;Tamanho;1
271;6541;2024-06-09;Entrega atrasada;1
272;6577;2025-11-30;Tamanho;1
273;6628;2025-02-01;Arrependimento;1
274;6645;2024-04-15;Defeito;2
275;6652;2025-06-08;Tamanho;1
276;6671;2025-01-14;Entrega atrasada;2
277;6690;2025-01-29;Arrependimento;2
278;6693;2024-01-04;Tamanho;1
279;6707;2024-02-04;Defeito;1
280;6788;2025-07-27;Tamanho;1
281;6814;2025-02-26;Arrependimento;1
282;6838;2024-02-23;Tamanho;1
283;6840;2024-03-01;Entrega atrasada;2
284;6851;2024-09-03;Tamanho;1
285;6854;2024-08-04;Tamanho;2
286;6861;2025-07-24;Arrependimento;4
287;6871;2025-08-23;Defeito;1
288;6941;2024-04-29;Arrependimento;1
289;6950;2025-08-17;Tamanho;1
290;6952;2024-07-10;Entrega atrasada;2
291;6964;2024-08-05;Tamanho;1
292;7017;2025-08-12;Defeito;1
293;7051;2025-04-28;Arrependimento;1
294;7073;2024-11-07;Defeito;2
295;7077;2025-09-30;Arrependimento;1
296;7085;2025-10-14;Tamanho;1
297;7094;2024-07-07;Defeito;1
298;7108;2024-02-27;Entrega atrasada;3
299;7209;2024-04-13;Defeito;1
300;7272;2024-10-19;Arrependimento;1
301;7294;2025-12-18;Defeito;1
302;7331;2025-01-26;Defeito;1
303;7373;2024-05-18;Defeito;3
304;7388;2025-07-14;Arrependimento;2
305;7417;2024-03-03;Defeito;1
306;7429;2024-03-17;Defeito;1
307;7507;2024-03-01;Entrega atrasada;1
308;7516;2024-10-26;Arrependimento;1
309;7537;2025-10-17;Defeito;1
310;7550;2025-02-04;Tamanho;1
311;7568;2025-04-11;Tamanho;3
312;7569;2025-04-01;Entrega atrasada;1
313;7598;2025-02-23;Defeito;1
314;7632;2025-03-27;Tamanho;2
315;7654;2025-07-05;Arrependimento;1
316;7660;2025-06-19;Entrega atrasada;1
317;7670;2025-01-11;Arrependimento;3
318;7693;2025-05-30;Entrega atrasada;3
319;7714;2025-09-08;Tamanho;1
320;7727;2024-01-28;Entrega atrasada;1
321;7771;2025-12-05;Defeito;1
322;7805;2025-11-19;Defeito;1
323;7809;2025-01-12;Arrependimento;1
324;7849;2025-03-02;Entrega atrasada;1
325;7866;2024-07-03;Entrega atrasada;1
326;7869;2025-09-20;Entrega atrasada;3
327;7877;2025-11-11;Defeito;1
328;7882;2025-02-27;Arrependimento;1
329;7892;2025-01-12;Arrependimento;1
330;7903;2025-02-14;Entrega atrasada;1
331;7905;2025-02-19;Entrega atrasada;1
332;7945;2024-03-28;Entrega atrasada;1
333;7964;2025-11-24;Defeito;1
334;8017;2025-06-21;Defeito;1
335;8028;2024-08-20;Tamanho;1
336;8066;2025-11-04;Entrega atrasada;2
337;8072;2024-04-15;Tamanho;1
338;8074;2024-04-19;Defeito;1
339;8127;2025-01-09;Defeito;1
340;8143;2024-07-20;Arrependimento;2
341;8155;2024-09-15;Arrependimento;1
342;8159;2025-06-02;Arrependimento;3
343;8173;2024-10-15;Tamanho;1
344;8209;2024-02-11;Tamanho;1
345;8256;2024-06-01;Arrependimento;2
346;8263;2024-02-02;Tamanho;1
347;8298;2024-01-27;Arrependimento;2
348;8301;2024-02-06;Tamanho;1
349;8310;2024-04-20;Tamanho;1
350;8323;2025-07-22;Entrega atrasada;1
351;8362;2025-01-27;Arrependimento;1
352;8390;2024-04-15;Entrega atrasada;1
353;8412;2025-09-24;Tamanho;2
354;8414;2024-12-02;Tamanho;1
355;8430;2025-08-07;Entrega atrasada;1
356;8521;2024-02-06;Defeito;1
357;8558;2024-12-30;Tamanho;2
358;8601;2024-01-19;Tamanho;1
359;8606;2024-03-04;Entrega atrasada;1
360;8608;2024-03-12;Tamanho;2
361;8618;2025-02-12;Defeito;1
362;8646;2024-10-29;Defeito;1
363;8675;2025-09-16;Arrependimento;2
364;8687;2024-11-08;Tamanho;1
365;8695;2024-02-17;Tamanho;1
366;8709;2024-07-11;Defeito;1
367;8739;2024-03-25;Defeito;1
368;8762;2025-07-11;Tamanho;3
369;8803;2025-07-31;Defeito;1
370;8836;2024-11-18;Arrependimento;1
371;8847;2025-10-06;Defeito;1
372;8857;2024-11-19;Defeito;1
373;8892;2024-02-23;Entrega atrasada;1
374;8903;2024-12-31;Tamanho;3
375;8947;2025-09-22;Defeito;2
376;8954;2024-10-27;Arrependimento;1
377;8971;2025-03-05;Defeito;1
378;9001;2024-07-22;Defeito;1
379;9005;2024-03-18;Arrependimento;1
380;9010;2024-11-10;Tamanho;1
381;9051;2025-11-13;Entrega atrasada;1
382;9064;2024-04-16;Defeito;1
383;9113;2025-12-16;Arrependimento;4
384;9175;2025-06-13;Entrega atrasada;2
385;9206;2024-11-10;Tamanho;1
386;9217;2024-11-04;Entrega atrasada;1
387;9252;2025-02-10;Defeito;2
388;9255;2024-12-25;Defeito;2
389;9269;2025-10-26;Arrependimento;1
390;9345;2025-02-26;Tamanho;1
391;9352;2025-11-25;Tamanho;2
392;9355;2025-10-07;Tamanho;1
393;9423;2025-11-20;Defeito;1
394;9454;2024-07-18;Arrependimento;1
395;9486;2024-11-16;Tamanho;1
396;9524;2025-06-12;Defeito;1
397;9538;2025-11-18;Tamanho;1
398;9544;2025-09-28;Defeito;1
399;9587;2025-07-03;Entrega atrasada;1
400;9592;2025-11-10;Arrependimento;1
401;9622;2025-12-20;Defeito;1
402;9643;2025-06-06;Arrependimento;1
403;9650;2024-02-17;Tamanho;1
404;9711;2025-03-11;Entrega atrasada;1
405;9752;2024-04-25;Tamanho;1
406;9780;2024-09-05;Arrependimento;1
407;9795;2024-02-15;Arrependimento;1
408;9831;2024-06-19;Tamanho;2
409;9856;2024-03-12;Tamanho;1
410;9892;2025-04-30;Tamanho;1
411;9900;2025-03-23;Tamanho;1
412;9930;2024-07-15;Entrega atrasada;1
413;9940;2025-01-07;Tamanho;1
414;9958;2024-05-26;Entrega atrasada;1
415;9965;2024-03-18;Entrega atrasada;1
416;10032;2024-03-29;Defeito;1
417;10049;2024-02-26;Tamanho;1
418;10060;2024-06-25;Entrega atrasada;1
419;10185;2025-07-21;Arrependimento;1
420;10189;2024-11-10;Defeito;2
421;10205;2024-09-14;Defeito;1
422;10209;2024-12-25;Tamanho;2
423;10217;2025-06-13;Tamanho;2
