VendaItemID;PedidoID;Data;ClienteID;ProdutoID;LojaID;VendedorID;CanalVenda;FormaPagamento;Quantidade;PrecoUnitario;CustoUnitario;PercentualDesconto;ValorBruto;ValorDesconto;ValorLiquido;CustoTotal
61;10034;2024-01-10;685;6;2;20;Loja Fisica;Cartao Credito;2;367,38;167,00;0;734,76;0,00;734,76;334,00
62;10035;2024-04-26;263;66;7;35;Loja Fisica;Pix;2;421,89;245,00;0,05;843,78;42,19;801,59;490,00
63;10036;2025-10-29;329;69;4;28;Loja Fisica;Cartao Credito;1;128,89;80,00;0,10;128,89;12,89;116,00;80,00
64;10036;2025-10-29;329;28;4;28;Loja Fisica;Boleto;2;159,56;98,00;0,05;319,12;15,96;303,16;196,00
65;10036;2025-10-29;329;56;4;28;Loja Fisica;Pix;2;378,13;256,00;0;756,26;0,00;756,26;512,00
66;10037;2025-04-15;340;33;12;25;Loja Fisica;Boleto;1;122,35;81,00;0,08;122,35;9,79;112,56;81,00
67;10038;2025-02-21;462;50;7;8;E-commerce;Cartao Credito;2;142,61;60,00;0,08;285,22;22,82;262,40;120,00
68;10039;2024-03-05;600;65;12;32;Loja Fisica;Pix;1;361,13;233,00;0,15;361,13;54,17;306,96;233,00
69;10039;2024-03-05;600;37;12;32;Loja Fisica;Cartao Credito;2;61,93;30,00;0,05;123,86;6,19;117,67;60,00
70;10039;2024-03-05;600;4;12;32;Loja Fisica;Cartao Credito;1;486,34;312,00;0,08;486,34;38,91;447,43;312,00
71;10040;2025-07-12;650;2;5;22;Loja Fisica;Cartao Credito;1;56,63;41,00;0,08;56,63;4,53;52,10;41,00
72;10040;2025-07-12;650;40;5;22;Loja Fisica;Cartao Debito;1;347,83;257,00;0,10;347,83;34,78;313,05;257,00
73;10041;2025-02-26;525;33;11;46;Loja Fisica;Pix;1;122,35;81,00;0;122,35;0,00;122,35;81,00
74;10042;2024-02-25;473;9;9;42;E-commerce;Pix;1;111,45;77,00;0;111,45;0,00;111,45;77,00
75;10043;2024-12-04;132;9;6;23;E-commerce;Pix;3;111,45;77,00;0;334,35;0,00;334,35;231,00
76;10044;2025-11-06;711;41;5;22;E-commerce;Cartao Credito;3;604,17;281,00;0;1812,51;0,00;1812,51;843,00
77;10044;2025-11-06;711;29;5;22;E-commerce;Cartao Credito;2;597,77;312,00;0,10;1195,54;119,55;1075,99;624,00
78;10045;2024-05-17;751;46;11;33;Loja Fisica;Pix;2;353,98;190,00;0,05;707,96;35,40;672,56;380,00
79;10046;2025-09-13;288;34;2;20;E-commerce;Cartao Credito;2;476,27;241,00;0,10;952,54;95,25;857,29;482,00
80;10047;2024-01-20;647;28;9;15;Loja Fisica;Cartao Credito;3;159,56;98,00;0,08;478,68;38,29;440,39;294,00
81;10047;2024-01-20;647;70;9;15;Loja Fisica;Cartao Credito;1;544,49;299,00;0,15;544,49;81,67;462,82;299,00
82;10048;2025-08-26;298;51;12;6;Loja Fisica;Pix;1;132,15;89,00;0;132,15;0,00;132,15;89,00
83;10049;2025-09-20;170;23;11;30;E-commerce;Pix;1;84,30;53,00;0,08;84,30;6,74;77,56;53,00
84;10050;2025-05-10;42;34;6;16;Loja Fisica;Pix;1;476,27;241,00;0;476,27;0,00;476,27;241,00
85;10051;2025-01-04;481;42;7;8;Marketplace;Pix;1;178,86;79,00;0,08;178,86;14,31;164,55;79,00
86;10051;2025-01-04;481;34;7;8;Marketplace;Cartao Credito;1;476,27;241,00;0,08;476,27;38,10;438,17;241,00
87;10051;2025-01-04;481;47;7;8;Marketplace;Cartao Credito;1;477,26;210,00;0,15;477,26;71,59;405,67;210,00
88;10052;2024-08-16;416;62;9;15;Loja Fisica;Pix;3;342,76;167,00;0;1028,28;0,00;1028,28;501,00
89;10052;2024-08-16;416;22;9;15;Loja Fisica;Pix;1;489,98;310,00;0,08;489,98;39,20;450,78;310,00
90;10052;2024-08-16;416;24;9;15;Loja Fisica;Pix;1;329,45;186,00;0,08;329,45;26,36;303,09;186,00
91;10053;2024-08-23;339;62;7;36;E-commerce;Pix;1;342,76;167,00;0;342,76;0,00;342,76;167,00
92;10054;2024-09-06;131;74;1;3;Loja Fisica;Cartao Credito;1;75,76;32,00;0;75,76;0,00;75,76;32,00
93;10055;2025-02-19;578;11;10;29;E-commerce;Cartao Debito;1;351,60;160,00;0,08;351,60;28,13;323,47;160,00
94;10055;2025-02-19;578;22;10;29;E-commerce;Pix;1;489,98;310,00;0,05;489,98;24,50;465,48;310,00
95;10055;2025-02-19;578;24;10;29;E-commerce;Cartao Credito;2;329,45;186,00;0,08;658,90;52,71;606,19;372,00
96;10056;2024-12-16;611;17;8;43;E-commerce;Pix;1;359,57;219,00;0;359,57;0,00;359,57;219,00
97;10057;2025-12-01;154;69;7;8;E-commerce;Cartao Credito;1;128,89;80,00;0;128,89;0,00;128,89;80,00
98;10058;2025-09-09;2;56;9;42;Marketplace;Cartao Debito;1;378,13;256,00;0;378,13;0,00;378,13;256,00
99;10058;2025-09-09;2;55;9;42;Marketplace;Pix;1;390,96;216,00;0,15;390,96;58,64;332,32;216,00
100;10059;2024-12-24;760;55;10;18;Marketplace;Boleto;1;390,96;216,00;0,05;390,96;19,55;371,41;216,00
101;10059;2024-12-24;760;11;10;18;Marketplace;Cartao Credito;1;351,60;160,00;0,08;351,60;28,13;323,47;160,00
102;10059;2024-12-24;760;1;10;18;Marketplace;Pix;1;438,15;304,00;0;438,15;0,00;438,15;304,00
103;10060;2024-07-29;324;75;12;38;Loja Fisica;Pix;1;195,44;110,00;0,15;195,44;29,32;166,12;110,00
104;10061;2025-09-18;697;72;5;34;Loja Fisica;Pix;1;114,36;63,00;0;114,36;0,00;114,36;63,00
105;10062;2024-11-10;353;16;10;18;E-commerce;Boleto;2;146,13;65,00;0,05;292,26;14,61;277,65;130,00
106;10063;2024-04-12;521;21;4;10;Loja Fisica;Cartao Credito;1;198,22;108,00;0,10;198,22;19,82;178,40;108,00
107;10064;2024-05-28;615;48;8;9;Loja Fisica;Pix;1;207,39;147,00;0;207,39;0,00;207,39;147,00
108;10065;2025-02-14;672;23;10;18;Loja Fisica;Cartao Credito;2;84,30;53,00;0,05;168,60;8,43;160,17;106,00
109;10065;2025-02-14;672;67;10;18;Loja Fisica;Boleto;1;595,86;264,00;0;595,86;0,00;595,86;264,00
110;10066;2025-12-16;630;1;4;28;Loja Fisica;Cartao Debito;4;438,15;304,00;0;1752,60;0,00;1752,60;1216,00
111;10067;2024-12-27;405;9;11;17;Loja Fisica;Cartao Credito;3;111,45;77,00;0,08;334,35;26,75;307,60;231,00
112;10068;2025-08-19;356;25;6;44;Marketplace;Pix;1;307,07;133,00;0,05;307,07;15,35;291,72;133,00
113;10069;2025-02-20;110;15;9;15;Loja Fisica;Cartao Debito;2;98,13;48,00;0;196,26;0,00;196,26;96,00
114;10070;2025-08-11;711;32;5;26;Loja Fisica;Cartao Credito;2;532,43;285,00;0,15;1064,86;159,73;905,13;570,00
115;10071;2025-08-23;494;30;1;3;Loja Fisica;Cartao Debito;2;559,42;244,00;0,05;1118,84;55,94;1062,90;488,00
116;10072;2024-01-10;270;10;12;32;Loja Fisica;Cartao Credito;1;465,89;208,00;0;465,89;0,00;465,89;208,00
117;10073;2025-08-10;188;64;5;11;Marketplace;Pix;2;590,82;320,00;0;1181,64;0,00;1181,64;640,00
118;10073;2025-08-10;188;27;5;11;Marketplace;Cartao Credito;1;517,31;227,00;0,15;517,31;77,60;439,71;227,00
119;10074;2024-06-08;123;1;2;48;Marketplace;Cartao Debito;2;438,15;304,00;0,08;876,30;70,10;806,20;608,00
120;10074;2024-06-08;123;48;2;48;Marketplace;Cartao Debito;2;207,39;147,00;0,05;414,78;20,74;394,04;294,00
121;10075;2025-08-11;503;36;5;34;Loja Fisica;Pix;1;476,13;295,00;0,15;476,13;71,42;404,71;295,00
122;10075;2025-08-11;503;55;5;34;Loja Fisica;Cartao Credito;1;390,96;216,00;0,08;390,96;31,28;359,68;216,00
123;10076;2025-12-03;469;41;3;47;Marketplace;Pix;2;604,17;281,00;0;1208,34;0,00;1208,34;562,00
124;10076;2025-12-03;469;13;3;47;Marketplace;Cartao Debito;1;125,43;65,00;0,08;125,43;10,03;115,40;65,00
125;10077;2024-09-26;276;24;4;39;Loja Fisica;Cartao Credito;1;329,45;186,00;0;329,45;0,00;329,45;186,00
126;10077;2024-09-26;276;47;4;39;Loja Fisica;Cartao Credito;2;477,26;210,00;0;954,52;0,00;954,52;420,00
127;10078;2025-08-12;235;72;11;30;E-commerce;Cartao Credito;1;114,36;63,00;0,05;114,36;5,72;108,64;63,00
128;10078;2025-08-12;235;20;11;30;E-commerce;Cartao Credito;1;214,01;112,00;0;214,01;0,00;214,01;112,00
129;10079;2025-10-07;547;33;9;15;E-commerce;Cartao Credito;1;122,35;81,00;0,08;122,35;9,79;112,56;81,00
130;10079;2025-10-07;547;21;9;15;E-commerce;Cartao Credito;1;198,22;108,00;0,15;198,22;29,73;168,49;108,00
131;10080;2024-04-08;763;45;8;43;Loja Fisica;Cartao Credito;1;685,07;296,00;0;685,07;0,00;685,07;296,00
132;10081;2025-09-12;591;37;4;28;Loja Fisica;Pix;1;61,93;30,00;0,10;61,93;6,19;55,74;30,00
133;10081;2025-09-12;591;58;4;28;Loja Fisica;Pix;3;490,22;308,00;0,05;1470,66;73,53;1397,13;924,00
134;10082;2024-05-28;656;10;3;47;E-commerce;Cartao Credito;1;465,89;208,00;0;465,89;0,00;465,89;208,00
135;10083;2024-10-25;274;47;12;38;E-commerce;Cartao Debito;2;477,26;210,00;0,08;954,52;76,36;878,16;420,00
136;10084;2024-07-07;129;27;1;3;E-commerce;Cartao Credito;1;517,31;227,00;0;517,31;0,00;517,31;227,00
137;10084;2024-07-07;129;61;1;3;E-commerce;Boleto;1;276,33;194,00;0;276,33;0,00;276,33;194,00
138;10085;2024-03-26;269;40;2;48;E-commerce;Cartao Credito;1;347,83;257,00;0,10;347,83;34,78;313,05;257,00
139;10086;2024-05-14;175;61;9;15;Loja Fisica;Pix;1;276,33;194,00;0,15;276,33;41,45;234,88;194,00
140;10086;2024-05-14;175;57;9;15;Loja Fisica;Pix;1;97,18;57,00;0,10;97,18;9,72;87,46;57,00
141;10087;2025-04-12;767;69;11;46;E-commerce;Pix;1;128,89;80,00;0;128,89;0,00;128,89;80,00
142;10087;2025-04-12;767;12;11;46;E-commerce;Cartao Credito;1;442,84;299,00;0;442,84;0,00;442,84;299,00
143;10088;2024-01-11;536;37;1;37;E-commerce;Pix;1;61,93;30,00;0;61,93;0,00;61,93;30,00
144;10088;2024-01-11;536;62;1;37;E-commerce;Cartao Credito;1;342,76;167,00;0,15;342,76;51,41;291,35;167,00
145;10088;2024-01-11;536;30;1;37;E-commerce;Cartao Credito;2;559,42;244,00;0,08;1118,84;89,51;1029,33;488,00
146;10089;2025-07-28;405;49;7;36;Loja Fisica;Cartao Credito;1;93,60;65,00;0;93,60;0,00;93,60;65,00
147;10089;2025-07-28;405;35;7;36;Loja Fisica;Pix;1;434,65;220,00;0,10;434,65;43,47;391,18;220,00
148;10090;2024-07-11;187;58;2;48;Loja Fisica;Pix;1;490,22;308,00;0,08;490,22;39,22;451,00;308,00
149;10091;2024-06-04;548;35;1;37;Loja Fisica;Pix;1;434,65;220,00;0,05;434,65;21,73;412,92;220,00
150;10091;2024-06-04;548;20;1;37;Loja Fisica;Cartao Credito;1;214,01;112,00;0;214,01;0,00;214,01;112,00
151;10091;2024-06-04;548;64;1;37;Loja Fisica;Pix;4;590,82;320,00;0,05;2363,28;118,16;2245,12;1280,00
152;10091;2024-06-04;548;35;1;37;Loja Fisica;Pix;2;434,65;220,00;0;869,30;0,00;869,30;440,00
153;10092;2024-09-13;13;50;7;13;Loja Fisica;Cartao Credito;2;142,61;60,00;0,05;285,22;14,26;270,96;120,00
154;10092;2024-09-13;13;26;7;13;Loja Fisica;Cartao Credito;1;292,63;186,00;0,15;292,63;43,89;248,74;186,00
155;10093;2024-08-01;399;21;8;43;E-commerce;Pix;2;198,22;108,00;0;396,44;0,00;396,44;216,00
156;10094;2024-05-05;493;28;5;4;E-commerce;Pix;4;159,56;98,00;0;638,24;0,00;638,24;392,00
157;10095;2024-06-20;599;6;5;4;Loja Fisica;Cartao Credito;1;367,38;167,00;0,10;367,38;36,74;330,64;167,00
158;10095;2024-06-20;599;48;5;4;Loja Fisica;Cartao Credito;2;207,39;147,00;0;414,78;0,00;414,78;294,00
159;10096;2025-09-25;778;20;6;44;E-commerce;Cartao Credito;2;214,01;112,00;0,15;428,02;64,20;363,82;224,00
160;10097;2024-11-20;661;25;9;15;E-commerce;Cartao Credito;1;307,07;133,00;0,05;307,07;15,35;291,72;133,00
161;10097;2024-11-20;661;6;9;15;E-commerce;Pix;1;367,38;167,00;0,05;367,38;18,37;349,01;167,00
162;10098;2025-05-16;581;36;4;41;Loja Fisica;Cartao Debito;2;476,13;295,00;0,08;952,26;76,18;876,08;590,00
163;10099;2024-03-11;159;47;9;42;Loja Fisica;Pix;1;477,26;210,00;0,15;477,26;71,59;405,67;210,00
164;10099;2024-03-11;159;24;9;42;Loja Fisica;Cartao Debito;3;329,45;186,00;0,08;988,35;79,07;909,28;558,00
165;10100;2024-09-01;739;25;6;23;Loja Fisica;Boleto;1;307,07;133,00;0,05;307,07;15,35;291,72;133,00
166;10100;2024-09-01;739;37;6;23;Loja Fisica;Cartao Credito;1;61,93;30,00;0,10;61,93;6,19;55,74;30,00
167;10100;2024-09-01;739;9;6;23;Loja Fisica;Cartao Credito;1;111,45;77,00;0;111,45;0,00;111,45;77,00
168;10100;2024-09-01;739;13;6;23;Loja Fisica;Boleto;1;125,43;65,00;0,10;125,43;12,54;112,89;65,00
169;10101;2025-06-22;719;10;10;18;E-commerce;Pix;1;465,89;208,00;0;465,89;0,00;465,89;208,00
170;10102;2024-03-22;655;48;8;43;Loja Fisica;Boleto;2;207,39;147,00;0;414,78;0,00;414,78;294,00
171;10102;2024-03-22;655;6;8;43;Loja Fisica;Cartao Credito;2;367,38;167,00;0,15;734,76;110,21;624,55;334,00
172;10103;2025-06-15;104;25;2;20;E-commerce;Pix;1;307,07;133,00;0;307,07;0,00;307,07;133,00
173;10104;2025-07-25;572;46;12;40;Loja Fisica;Pix;2;353,98;190,00;0,10;707,96;70,80;637,16;380,00
174;10105;2024-06-19;564;69;3;2;Loja Fisica;Cartao Debito;4;128,89;80,00;0,05;515,56;25,78;489,78;320,00
175;10106;2025-07-17;381;42;6;44;Loja Fisica;Pix;1;178,86;79,00;0,08;178,86;14,31;164,55;79,00
176;10106;2025-07-17;381;71;6;44;Loja Fisica;Cartao Credito;3;193,81;118,00;0;581,43;0,00;581,43;354,00
177;10107;2025-02-10;744;67;1;3;Loja Fisica;Cartao Credito;1;595,86;264,00;0;595,86;0,00;595,86;264,00
178;10108;2024-08-07;23;71;6;23;E-commerce;Cartao Debito;1;193,81;118,00;0,08;193,81;15,50;178,31;118,00
179;10108;2024-08-07;23;5;6;23;E-commerce;Cartao Credito;1;377,97;239,00;0;377,97;0,00;377,97;239,00
180;10108;2024-08-07;23;75;6;23;E-commerce;Boleto;1;195,44;110,00;0;195,44;0,00;195,44;110,00
181;10109;2025-02-13;223;23;10;29;E-commerce;Pix;1;84,30;53,00;0,10;84,30;8,43;75,87;53,00
182;10109;2025-02-13;223;13;10;29;E-commerce;Cartao Credito;1;125,43;65,00;0;125,43;0,00;125,43;65,00
183;10110;2025-01-25;799;56;2;21;Loja Fisica;Cartao Credito;1;378,13;256,00;0,15;378,13;56,72;321,41;256,00
184;10110;2025-01-25;799;2;2;21;Loja Fisica;Cartao Credito;2;56,63;41,00;0,10;113,26;11,33;101,93;82,00
185;10111;2024-02-12;553;29;6;44;Loja Fisica;Pix;1;597,77;312,00;0,10;597,77;59,78;537,99;312,00
186;10112;2025-04-01;590;51;10;29;Loja Fisica;Cartao Credito;1;132,15;89,00;0;132,15;0,00;132,15;89,00
187;10113;2024-02-20;409;17;9;15;Loja Fisica;Pix;2;359,57;219,00;0,05;719,14;35,96;683,18;438,00
188;10114;2025-10-29;201;32;10;18;Loja Fisica;Cartao Credito;1;532,43;285,00;0,15;532,43;79,86;452,57;285,00
189;10114;2025-10-29;201;74;10;18;Loja Fisica;Cartao Credito;1;75,76;32,00;0,10;75,76;7,58;68,18;32,00
190;10114;2025-10-29;201;25;10;18;Loja Fisica;Pix;1;307,07;133,00;0,08;307,07;24,57;282,50;133,00
191;10114;2025-10-29;201;22;10;18;Loja Fisica;Boleto;4;489,98;310,00;0,08;1959,92;156,79;1803,13;1240,00
192;10115;2025-09-30;452;48;3;2;Loja Fisica;Cartao Debito;1;207,39;147,00;0,10;207,39;20,74;186,65;147,00
193;10115;2025-09-30;452;7;3;2;Loja Fisica;Cartao Debito;1;220,80;106,00;0,08;220,80;17,66;203,14;106,00
194;10116;2024-10-21;352;61;1;37;E-commerce;Pix;1;276,33;194,00;0;276,33;0,00;276,33;194,00
195;10117;2025-07-13;769;19;9;42;Loja Fisica;Cartao Credito;2;335,99;161,00;0,10;671,98;67,20;604,78;322,00
196;10118;2025-11-10;45;35;9;12;Loja Fisica;Cartao Debito;1;434,65;220,00;0,10;434,65;43,47;391,18;220,00
197;10119;2025-11-07;679;3;5;5;E-commerce;Cartao Credito;1;270,81;144,00;0,10;270,81;27,08;243,73;144,00
198;10119;2025-11-07;679;66;5;5;E-commerce;Cartao Debito;4;421,89;245,00;0;1687,56;0,00;1687,56;980,00
199;10120;2025-09-03;91;72;9;15;Loja Fisica;Cartao Credito;3;114,36;63,00;0;343,08;0,00;343,08;189,00
200;10121;2024-11-08;502;46;6;23;Loja Fisica;Cartao Credito;1;353,98;190,00;0;353,98;0,00;353,98;190,00
201;10122;2025-05-28;64;72;5;4;E-commerce;Cartao Credito;3;114,36;63,00;0;343,08;0,00;343,08;189,00
202;10122;2025-05-28;64;18;5;4;E-commerce;Pix;1;187,78;108,00;0,05;187,78;9,39;178,39;108,00
203;10122;2025-05-28;64;30;5;4;E-commerce;Cartao Credito;1;559,42;244,00;0,08;559,42;44,75;514,67;244,00
204;10123;2025-09-11;460;75;6;16;Loja Fisica;Cartao Credito;1;195,44;110,00;0,15;195,44;29,32;166,12;110,00
205;10124;2025-12-06;537;73;12;25;Marketplace;Cartao Credito;3;105,23;75,00;0;315,69;0,00;315,69;225,00
206;10125;2024-05-01;326;41;3;1;E-commerce;Cartao Debito;3;604,17;281,00;0,05;1812,51;90,63;1721,88;843,00
207;10126;2025-10-14;281;24;12;25;Loja Fisica;Pix;1;329,45;186,00;0,08;329,45;26,36;303,09;186,00
208;10127;2025-09-19;611;11;4;39;Loja Fisica;Cartao Credito;2;351,60;160,00;0,05;703,20;35,16;668,04;320,00
209;10127;2025-09-19;611;61;4;39;Loja Fisica;Cartao Credito;2;276,33;194,00;0;552,66;0,00;552,66;388,00
210;10128;2025-04-30;168;35;3;1;Loja Fisica;Pix;3;434,65;220,00;0;1303,95;0,00;1303,95;660,00
211;10129;2024-07-28;182;42;2;48;Marketplace;Cartao Credito;2;178,86;79,00;0;357,72;0,00;357,72;158,00
212;10129;2024-07-28;182;49;2;48;Marketplace;Pix;2;93,60;65,00;0,05;187,20;9,36;177,84;130,00
213;10129;2024-07-28;182;69;2;48;Marketplace;Boleto;1;128,89;80,00;0,10;128,89;12,89;116,00;80,00
214;10129;2024-07-28;182;58;2;48;Marketplace;Cartao Debito;1;490,22;308,00;0;490,22;0,00;490,22;308,00
215;10130;2025-07-04;753;25;7;8;Loja Fisica;Cartao Debito;1;307,07;133,00;0,05;307,07;15,35;291,72;133,00
216;10131;2024-10-19;171;67;8;9;Loja Fisica;Boleto;3;595,86;264,00;0,05;1787,58;89,38;1698,20;792,00
217;10131;2024-10-19;171;65;8;9;Loja Fisica;Pix;1;361,13;233,00;0,15;361,13;54,17;306,96;233,00
218;10132;2025-07-13;403;59;3;2;Loja Fisica;Cartao Debito;1;39,89;28,00;0,10;39,89;3,99;35,90;28,00
