ClienteID;Cliente;SegmentoCliente;Estado;Genero;FaixaEtaria;DataCadastro
46;Cliente 0046;Recorrente;RJ;Nao informado;35-44;2023-11-18
47;Cliente 0047;Novo;PE;M;45-54;2024-06-03
48;Cliente 0048;Novo;MG;F;45-54;2024-12-14
49;Cliente 0049;Risco;AM;Nao informado;25-34;2024-11-11
50;Cliente 0050;Recorrente;PE;Nao informado;18-24;2024-09-22
51;Cliente 0051;Novo;PE;Nao informado;55+;2023-11-08
52;Cliente 0052;Novo;CE;M;25-34;2024-11-01
53;Cliente 0053;Recorrente;MG;Nao informado;18-24;2024-06-07
54;Cliente 0054;Recorrente;AM;Nao informado;35-44;2023-10-18
55;Cliente 0055;VIP;PR;Nao informado;35-44;2023-04-06
56;Cliente 0056;VIP;MG;F;18-24;2023-08-19
57;Cliente 0057;Risco;GO;F;45-54;2023-09-08
58;Cliente 0058;VIP;GO;F;45-54;2024-02-29
59;Cliente 0059;Recorrente;MG;Nao informado;18-24;2024-05-21
60;Cliente 0060;VIP;RJ;M;25-34;2025-02-07
61;Cliente 0061;VIP;DF;M;18-24;2023-06-30
62;Cliente 0062;Novo;RJ;M;25-34;2024-07-24
63;Cliente 0063;Recorrente;DF;Nao informado;55+;2025-03-31
64;Cliente 0064;Risco;CE;Nao informado;55+;2023-11-21
65;Cliente 0065;VIP;DF;M;25-34;2024-03-12
66;Cliente 0066;VIP;CE;M;25-34;2025-01-31
67;Cliente 0067;Recorrente;DF;M;25-34;2025-05-10
68;Cliente 0068;Recorrente;RS;F;35-44;2023-10-09
69;Cliente 0069;Novo;DF;F;25-34;2023-12-10
70;Cliente 0070;Novo;MG;Nao informado;25-34;2023-06-04
71;Cliente 0071;Recorrente;BA;Nao informado;45-54;2023-03-07
72;Cliente 0072;Novo;PE;M;55+;2024-03-01
73;Cliente 0073;Novo;GO;M;45-54;2024-12-13
74;Cliente 0074;Risco;RS;M;45-54;2023-01-07
75;Cliente 0075;Recorrente;DF;Nao informado;25-34;2024-07-05
76;Cliente 0076;Novo;PE;M;18-24;2024-05-14
77;Cliente 0077;Novo;AM;M;25-34;2024-02-03
78;Cliente 0078;Recorrente;MG;Nao informado;55+;2025-05-10
79;Cliente 0079;Risco;GO;Nao informado;18-24;2023-01-28
80;Cliente 0080;Recorrente;MG;M;25-34;2023-03-27
81;Cliente 0081;Novo;BA;F;45-54;2023-02-21
82;Cliente 0082;Novo;PE;M;45-54;2023-12-01
83;Cliente 0083;VIP;CE;F;55+;2023-09-16
84;Cliente 0084;Risco;BA;F;18-24;2023-02-23
85;Cliente 0085;Risco;SP;F;25-34;2025-03-10
86;Cliente 0086;VIP;GO;F;25-34;2023-07-24
87;Cliente 0087;Recorrente;RJ;Nao informado;25-34;2023-05-10
88;Cliente 0088;Recorrente;BA;F;55+;2024-04-21
89;Cliente 0089;Risco;RJ;F;35-44;2024-09-13
90;Cliente 0090;Recorrente;RS;Nao informado;45-54;2023-04-21
91;Cliente 0091;Risco;PR;F;55+;2024-02-11
92;Cliente 0092;VIP;PR;F;35-44;2024-12-08
93;Cliente 0093;Recorrente;RJ;Nao informado;18-24;2025-05-20
94;Cliente 0094;Recorrente;AM;M;18-24;2023-12-22
95;Cliente 0095;Recorrente;SP;M;45-54;2024-06-02
96;Cliente 0096;Recorrente;BA;Nao informado;45-54;2023-04-19
97;Cliente 0097;Novo;MG;Nao informado;55+;2024-12-25
98;Cliente 0098;Novo;DF;M;45-54;2024-10-28
99;Cliente 0099;VIP;GO;M;35-44;2024-03-22
100;Cliente 0100;Novo;RJ;M;45-54;2025-05-22
101;Cliente 0101;Recorrente;GO;Nao informado;45-54;2023-09-07
102;Cliente 0102;Novo;BA;F;45-54;2023-12-11
103;Cliente 0103;Recorrente;RS;M;35-44;2023-08-06
104;Cliente 0104;Recorrente;RS;Nao informado;18-24;2024-09-02
105;Cliente 0105;Risco;RJ;F;45-54;2024-06-13
106;Cliente 0106;Recorrente;PR;Nao informado;45-54;2024-05-15
107;Cliente 0107;Recorrente;CE;F;18-24;2024-10-23
108;Cliente 0108;Novo;PR;M;55+;2023-10-29
109;Cliente 0109;Recorrente;DF;M;45-54;2024-01-13
110;Cliente 0110;Recorrente;BA;Nao informado;45-54;2025-02-02
111;Cliente 0111;Novo;PR;F;25-34;2023-10-05
112;Cliente 0112;Novo;DF;Nao informado;25-34;2023-11-20
113;Cliente 0113;Novo;CE;M;55+;2023-07-16
114;Cliente 0114;Recorrente;RS;F;25-34;2025-02-17
115;Cliente 0115;Novo;MG;M;18-24;2023-10-31
116;Cliente 0116;Recorrente;RS;F;18-24;2024-12-26
117;Cliente 0117;Novo;MG;Nao informado;45-54;2024-07-20
118;Cliente 0118;VIP;GO;M;45-54;2023-04-16
119;Cliente 0119;Recorrente;MG;F;35-44;2024-05-05
120;Cliente 0120;Recorrente;RJ;M;45-54;2025-06-01
121;Cliente 0121;Recorrente;AM;F;25-34;2023-03-17
122;Cliente 0122;VIP;RS;F;25-34;2023-06-02
123;Cliente 0123;Recorrente;PE;Nao informado;55+;2023-05-02
124;Cliente 0124;Recorrente;DF;M;45-54;2025-03-20
125;Cliente 0125;Novo;GO;M;35-44;2024-03-29
126;Cliente 0126;Recorrente;GO;Nao informado;18-24;2024-08-05
127;Cliente 0127;Novo;PR;M;18-24;2025-02-20
128;Cliente 0128;Novo;DF;F;25-34;2023-06-10
129;Cliente 0129;Recorrente;GO;M;35-44;2023-01-03
130;Cliente 0130;Novo;RS;Nao informado;45-54;2023-02-03
131;Cliente 0131;Recorrente;RS;Nao informado;55+;2023-03-14
132;Cliente 0132;VIP;PR;M;18-24;2024-11-08
133;Cliente 0133;Novo;MG;M;25-34;2024-07-11
134;Cliente 0134;Novo;RS;Nao informado;55+;2023-03-15
135;Cliente 0135;Recorrente;CE;Nao informado;35-44;2023-10-23
136;Cliente 0136;Recorrente;RS;Nao informado;55+;2024-12-17
137;Cliente 0137;Recorrente;GO;F;45-54;2024-05-20
138;Cliente 0138;Novo;RS;F;18-24;2025-01-22
139;Cliente 0139;Risco;GO;Nao informado;18-24;2023-08-23
140;Cliente 0140;Recorrente;RS;Nao informado;18-24;2025-02-22
141;Cliente 0141;Recorrente;CE;Nao informado;45-54;2025-02-20
142;Cliente 0142;Novo;GO;M;45-54;2023-10-12
143;Cliente 0143;Recorrente;PE;M;35-44;2023-04-04
144;Cliente 0144;Novo;MG;M;45-54;2024-11-17
145;Cliente 0145;Recorrente;AM;M;55+;2024-12-11
146;Cliente 0146;Recorrente;BA;M;35-44;2023-02-07
147;Cliente 0147;Risco;PE;Nao informado;18-24;2023-04-29
148;Cliente 0148;VIP;CE;M;18-24;2024-11-04
149;Cliente 0149;Recorrente;GO;M;45-54;2023-07-12
150;Cliente 0150;Novo;RS;Nao informado;25-34;2025-02-17
151;Cliente 0151;Recorrente;CE;F;18-24;2023-10-22
152;Cliente 0152;Recorrente;PR;Nao informado;25-34;2024-10-07
153;Cliente 0153;Recorrente;DF;M;18-24;2023-11-15
154;Cliente 0154;Risco;RJ;M;18-24;2023-08-19
155;Cliente 0155;VIP;CE;Nao informado;35-44;2024-10-25
156;Cliente 0156;Recorrente;PE;M;45-54;2024-06-05
157;Cliente 0157;Recorrente;MG;M;25-34;2023-09-07
158;Cliente 0158;Recorrente;MG;F;35-44;2024-09-05
159;Cliente 0159;VIP;PE;M;55+;2025-03-02
160;Cliente 0160;VIP;RS;Nao informado;35-44;2023-10-01
161;Cliente 0161;Recorrente;AM;M;25-34;2025-05-07
162;Cliente 0162;Recorrente;BA;M;55+;2024-04-02
163;Cliente 0163;Recorrente;CE;M;25-34;2025-02-20
164;Cliente 0164;Novo;PE;F;45-54;2024-12-15
165;Cliente 0165;Novo;CE;Nao informado;45-54;2023-02-14
166;Cliente 0166;Risco;AM;F;45-54;2024-01-31
167;Cliente 0167;Novo;GO;M;18-24;2023-02-07
168;Cliente 0168;VIP;RJ;Nao informado;45-54;2025-06-14
169;Cliente 0169;Recorrente;PE;Nao informado;25-34;2023-01-16
170;Cliente 0170;Recorrente;RS;M;55+;2023-03-18
171;Cliente 0171;Recorrente;RJ;M;55+;2024-12-10
172;Cliente 0172;Risco;AM;Nao informado;45-54;2024-01-25
173;Cliente 0173;Recorrente;GO;F;25-34;2025-06-12
174;Cliente 0174;Recorrente;RS;F;18-24;2024-10-08
175;Cliente 0175;Risco;AM;Nao informado;18-24;2024-03-20
176;Cliente 0176;Novo;RS;F;18-24;2024-03-30
177;Cliente 0177;VIP;RS;M;35-44;2023-11-29
178;Cliente 0178;Novo;DF;M;55+;2024-03-17
179;Cliente 0179;VIP;MG;F;18-24;2024-11-29
180;Cliente 0180;VIP;GO;Nao informado;25-34;2024-09-16
181;Cliente 0181;Risco;MG;F;45-54;2024-05-24
182;Cliente 0182;Novo;RS;Nao informado;18-24;2024-10-15
183;Cliente 0183;Recorrente;RS;Nao informado;55+;2025-04-03
184;Cliente 0184;Novo;BA;Nao informado;35-44;2023-06-11
185;Cliente 0185;Risco;RS;M;35-44;2024-10-16
186;Cliente 0186;Risco;CE;F;25-34;2023-07-23
187;Cliente 0187;Recorrente;GO;M;35-44;2024-01-26
188;Cliente 0188;Risco;AM;M;35-44;2023-01-23
189;Cliente 0189;Recorrente;AM;Nao informado;18-24;2023-01-09
190;Cliente 0190;Recorrente;RS;F;55+;2024-09-12
191;Cliente 0191;Recorrente;AM;F;55+;2025-04-01
192;Cliente 0192;Recorrente;AM;Nao informado;25-34;2023-09-14
193;Cliente 0193;Novo;AM;Nao informado;18-24;2024-10-05
194;Cliente 0194;VIP;SP;Nao informado;35-44;2023-11-13
195;Cliente 0195;Novo;RS;M;45-54;2025-01-19
196;Cliente 0196;Novo;DF;M;55+;2023-06-29
197;Cliente 0197;Risco;MG;M;45-54;2024-05-28
198;Cliente 0198;Novo;BA;F;45-54;2025-04-05
199;Cliente 0199;Novo;PR;Nao informado;45-54;2023-03-19
200;Cliente 0200;VIP;BA;F;45-54;2025-05-16
201;Cliente 0201;Novo;RJ;M;35-44;2023-01-15
202;Cliente 0202;Recorrente;RS;Nao informado;45-54;2024-11-19
203;Cliente 0203;Recorrente;BA;F;25-34;2025-04-22
204;Cliente 0204;Novo;DF;M;55+;2024-04-27
205;Cliente 0205;Recorrente;AM;M;35-44;2023-08-15
206;Cliente 0206;Recorrente;MG;F;18-24;2024-10-26
207;Cliente 0207;Risco;RJ;F;25-34;2023-11-08
208;Cliente 0208;Novo;CE;M;55+;2024-07-04
209;Cliente 0209;Recorrente;MG;M;18-24;2024-03-05
210;Cliente 0210;Recorrente;PE;M;18-24;2025-05-03
211;Cliente 0211;Recorrente;CE;M;25-34;2024-12-07
212;Cliente 0212;Recorrente;AM;M;55+;2025-05-25
213;Cliente 0213;Recorrente;PE;M;25-34;2024-10-22
214;Cliente 0214;Risco;CE;F;25-34;2023-05-06
215;Cliente 0215;Recorrente;SP;F;35-44;2024-10-19
216;Cliente 0216;Risco;GO;F;18-24;2023-09-07
217;Cliente 0217;Recorrente;PR;Nao informado;25-34;2025-04-29
218;Cliente 0218;VIP;BA;F;55+;2025-04-12
219;Cliente 0219;Novo;MG;F;55+;2023-01-03
220;Cliente 0220;VIP;RJ;Nao informado;18-24;2023-09-14
221;Cliente 0221;Novo;PR;Nao informado;35-44;2023-05-15
222;Cliente 0222;Novo;SP;F;45-54;2023-01-17
223;Cliente 0223;Novo;RJ;M;45-54;2024-06-22
224;Cliente 0224;Recorrente;GO;F;45-54;2025-03-07
225;Cliente 0225;Novo;GO;F;55+;2024-05-30
226;Cliente 0226;Recorrente;SP;F;45-54;2023-11-05
227;Cliente 0227;Recorrente;AM;F;45-54;2025-05-17
228;Cliente 0228;Risco;RJ;F;35-44;2024-12-30
229;Cliente 0229;Novo;MG;M;55+;2024-09-14
230;Cliente 0230;Recorrente;BA;M;55+;2024-10-10
231;Cliente 0231;Novo;DF;Nao informado;45-54;2024-06-27
232;Cliente 0232;VIP;RJ;Nao informado;55+;2023-04-12
233;Cliente 0233;VIP;PE;M;25-34;2025-01-08
234;Cliente 0234;Novo;CE;M;45-54;2024-02-28
235;Cliente 0235;Novo;PE;M;35-44;2025-01-17
236;Cliente 0236;Risco;AM;M;18-24;2024-01-19
237;Cliente 0237;VIP;RJ;M;18-24;2023-04-04
238;Cliente 0238;Recorrente;MG;Nao informado;18-24;2025-02-01
239;Cliente 0239;Risco;DF;M;18-24;2024-08-23
240;Cliente 0240;Recorrente;AM;M;18-24;2024-02-25
241;Cliente 0241;Recorrente;BA;F;55+;2023-10-22
242;Cliente 0242;Novo;AM;M;25-34;2024-06-03
243;Cliente 0243;Novo;DF;M;18-24;2025-05-17
244;Cliente 0244;Novo;PR;M;55+;2025-02-19
245;Cliente 0245;VIP;GO;Nao informado;55+;2025-02-24
246;Cliente 0246;Recorrente;AM;Nao informado;35-44;2023-01-27
247;Cliente 0247;Novo;RS;M;35-44;2023-01-30
248;Cliente 0248;Novo;MG;Nao informado;45-54;2023-01-07
249;Cliente 0249;Novo;AM;F;18-24;2023-03-13
250;Cliente 0250;Recorrente;PE;M;45-54;2025-02-03
251;Cliente 0251;Novo;RS;Nao informado;35-44;2023-12-16
252;Cliente 0252;Risco;GO;F;18-24;2025-03-06
253;Cliente 0253;Novo;GO;F;18-24;2023-06-09
254;Cliente 0254;Recorrente;PE;M;55+;2023-10-06
255;Cliente 0255;Recorrente;PR;Nao informado;18-24;2024-03-28
256;Cliente 0256;Recorrente;RS;Nao informado;55+;2023-12-20
257;Cliente 0257;Recorrente;RS;F;25-34;2024-05-13
258;Cliente 0258;Risco;SP;F;25-34;2024-02-09
259;Cliente 0259;Risco;MG;M;35-44;2023-11-05
260;Cliente 0260;Novo;CE;Nao informado;45-54;2023-12-02
261;Cliente 0261;Novo;DF;Nao informado;25-34;2023-06-29
262;Cliente 0262;Recorrente;AM;M;18-24;2024-05-27
263;Cliente 0263;VIP;SP;M;18-24;2024-02-11
264;Cliente 0264;Risco;BA;Nao informado;45-54;2024-04-15
265;Cliente 0265;Recorrente;AM;M;35-44;2024-08-10
266;Cliente 0266;Recorrente;BA;F;55+;2023-04-28
267;Cliente 0267;VIP;BA;F;45-54;2024-04-16
268;Cliente 0268;Novo;PE;Nao informado;45-54;2025-05-14
269;Cliente 0269;Novo;RS;Nao informado;35-44;2024-06-20
270;Cliente 0270;Novo;MG;F;55+;2023-08-15
271;Cliente 0271;Novo;DF;F;35-44;2024-10-10
272;Cliente 0272;Recorrente;AM;F;25-34;2023-12-26
273;Cliente 0273;Novo;PR;F;55+;2023-04-16
274;Cliente 0274;Recorrente;AM;F;25-34;2023-06-06
275;Cliente 0275;Recorrente;CE;Nao informado;55+;2025-03-02
276;Cliente 0276;Recorrente;GO;Nao informado;55+;2024-04-04
277;Cliente 0277;VIP;AM;M;25-34;2023-11-27
278;Cliente 0278;Novo;CE;Nao informado;35-44;2024-03-26
279;Cliente 0279;Novo;SP;M;55+;2025-03-26
280;Cliente 0280;Novo;CE;F;18-24;2023-03-17
281;Cliente 0281;VIP;RJ;Nao informado;18-24;2024-01-13
282;Cliente 0282;Recorrente;PE;M;55+;2024-09-21
283;Cliente 0283;Risco;SP;M;55+;2024-07-21
284;Cliente 0284;Novo;GO;M;55+;2024-10-29
285;Cliente 0285;Risco;CE;F;35-44;2023-06-04
286;Cliente 0286;Novo;AM;F;18-24;2025-01-01
287;Cliente 0287;Recorrente;CE;Nao informado;55+;2023-09-11
288;Cliente 0288;Novo;BA;M;45-54;2024-09-16
289;Cliente 0289;VIP;AM;Nao informado;18-24;2024-02-23
290;Cliente 0290;Recorrente;BA;F;35-44;2025-03-19
291;Cliente 0291;Recorrente;PE;M;35-44;2023-04-07
292;Cliente 0292;VIP;GO;F;35-44;2025-01-11
293;Cliente 0293;Recorrente;MG;M;35-44;2023-03-25
294;Cliente 0294;Recorrente;PE;F;55+;2024-11-02
295;Cliente 0295;Risco;RS;Nao informado;45-54;2024-12-26
296;Cliente 0296;VIP;MG;Nao informado;55+;2024-10-20
297;Cliente 0297;Recorrente;PE;Nao informado;35-44;2023-04-06
298;Cliente 0298;Recorrente;MG;F;35-44;2023-01-19
299;Cliente 0299;Recorrente;PR;F;25-34;2025-02-23
300;Cliente 0300;Novo;RJ;Nao informado;55+;2023-03-21
301;Cliente 0301;Recorrente;DF;F;35-44;2025-05-05
302;Cliente 0302;Recorrente;MG;Nao informado;45-54;2025-06-16
303;Cliente 0303;Novo;GO;F;45-54;2023-06-07
304;Cliente 0304;Recorrente;AM;Nao informado;25-34;2023-02-14
305;Cliente 0305;Recorrente;CE;F;55+;2024-03-30
306;Cliente 0306;Novo;CE;F;35-44;2023-09-02
307;Cliente 0307;Risco;CE;M;35-44;2024-11-25
308;Cliente 0308;Recorrente;DF;M;25-34;2025-03-07
309;Cliente 0309;Novo;GO;F;35-44;2025-04-16
310;Cliente 0310;Recorrente;BA;Nao informado;18-24;2023-02-23
311;Cliente 0311;VIP;RJ;M;18-24;2024-12-29
312;Cliente 0312;Novo;CE;Nao informado;25-34;2025-02-20
313;Cliente 0313;Recorrente;PR;M;35-44;2025-04-30
314;Cliente 0314;Recorrente;PE;Nao informado;35-44;2023-01-28
315;Cliente 0315;Recorrente;RJ;M;25-34;2023-08-30
316;Cliente 0316;Novo;RJ;Nao informado;35-44;2023-01-29
317;Cliente 0317;Novo;SP;M;45-54;2025-03-21
318;Cliente 0318;VIP;CE;M;55+;2024-12-13
319;Cliente 0319;Risco;SP;M;25-34;2023-01-06
320;Cliente 0320;Novo;GO;Nao informado;45-54;2025-05-05
321;Cliente 0321;VIP;PR;M;18-24;2023-04-24
322;Cliente 0322;Novo;AM;Nao informado;45-54;2023-02-18
323;Cliente 0323;Novo;CE;Nao informado;55+;2023-03-06
324;Cliente 0324;Recorrente;GO;F;25-34;2023-01-17
325;Cliente 0325;Recorrente;GO;M;25-34;2023-10-26
326;Cliente 0326;Recorrente;AM;Nao informado;18-24;2024-08-07
327;Cliente 0327;Risco;RJ;Nao informado;55+;2024-06-20
328;Cliente 0328;VIP;DF;Nao informado;18-24;2024-06-03
329;Cliente 0329;VIP;SP;Nao informado;45-54;2024-02-04
330;Cliente 0330;Novo;SP;M;18-24;2024-01-18
331;Cliente 0331;Novo;AM;Nao informado;18-24;2023-12-20
332;Cliente 0332;Recorrente;BA;F;18-24;2025-03-01
333;Cliente 0333;Recorrente;AM;F;45-54;2023-12-27
334;Cliente 0334;Recorrente;MG;F;18-24;2024-12-13
335;Cliente 0335;VIP;CE;F;35-44;2025-01-03
336;Cliente 0336;Novo;PR;F;35-44;2023-07-26
337;Cliente 0337;Recorrente;DF;M;35-44;2023-11-14
338;Cliente 0338;Recorrente;PR;M;35-44;2023-02-07
339;Cliente 0339;VIP;AM;M;35-44;2025-06-01
340;Cliente 0340;VIP;PE;M;45-54;2023-05-08
341;Cliente 0341;Novo;MG;M;45-54;2024-01-31
342;Cliente 0342;Risco;DF;M;18-24;2024-01-12
343;Cliente 0343;Recorrente;PE;Nao informado;25-34;2025-01-14
344;Cliente 0344;Novo;RJ;F;35-44;2024-07-12
345;Cliente 0345;Novo;CE;Nao informado;45-54;2024-11-07
346;Cliente 0346;Recorrente;BA;M;18-24;2023-06-20
347;Cliente 0347;VIP;BA;Nao informado;45-54;2025-01-14
348;Cliente 0348;Recorrente;SP;F;45-54;2023-10-09
349;Cliente 0349;Recorrente;AM;F;18-24;2024-01-08
350;Cliente 0350;VIP;AM;M;18-24;2023-05-27
351;Cliente 0351;Novo;AM;M;35-44;2023-05-10
352;Cliente 0352;Risco;SP;Nao informado;25-34;2024-01-28
353;Cliente 0353;Recorrente;BA;M;45-54;2024-11-26
354;Cliente 0354;Novo;MG;Nao informado;35-44;2025-02-20
355;Cliente 0355;Novo;RS;F;18-24;2024-02-12
356;Cliente 0356;Recorrente;CE;Nao informado;45-54;2023-01-27
357;Cliente 0357;Novo;RS;Nao informado;45-54;2024-07-29
358;Cliente 0358;Risco;RS;Nao informado;45-54;2023-08-08
359;Cliente 0359;Novo;RJ;M;25-34;2023-07-24
360;Cliente 0360;Recorrente;RJ;Nao informado;35-44;2024-12-31
361;Cliente 0361;Novo;RJ;Nao informado;55+;2024-11-14
362;Cliente 0362;VIP;MG;Nao informado;25-34;2023-10-25
363;Cliente 0363;Recorrente;PR;F;25-34;2025-03-23
364;Cliente 0364;Novo;CE;F;35-44;2025-03-22
365;Cliente 0365;Recorrente;CE;Nao informado;25-34;2024-07-21
366;Cliente 0366;VIP;RJ;M;45-54;2024-09-18
367;Cliente 0367;Recorrente;DF;M;45-54;2025-01-04
368;Cliente 0368;Recorrente;MG;M;18-24;2025-04-23
369;Cliente 0369;Recorrente;DF;M;25-34;2024-04-05
370;Cliente 0370;VIP;DF;Nao informado;55+;2025-06-18
371;Cliente 0371;Recorrente;MG;M;55+;2023-07-06
372;Cliente 0372;Novo;RJ;Nao informado;25-34;2025-06-08
373;Cliente 0373;Novo;BA;Nao informado;25-34;2023-11-08
374;Cliente 0374;Risco;DF;M;18-24;2023-12-21
375;Cliente 0375;Novo;DF;M;25-34;2023-09-14
376;Cliente 0376;Novo;DF;F;55+;2024-10-02
377;Cliente 0377;Novo;GO;F;25-34;2024-10-18
378;Cliente 0378;Recorrente;GO;M;55+;2024-11-05
379;Cliente 0379;VIP;SP;F;18-24;2023-02-12
380;Cliente 0380;VIP;RS;Nao informado;25-34;2024-10-18
381;Cliente 0381;Recorrente;GO;Nao informado;18-24;2025-02-24
382;Cliente 0382;VIP;DF;M;35-44;2024-05-24
383;Cliente 0383;Novo;AM;M;35-44;2024-05-09
384;Cliente 0384;Novo;SP;F;45-54;2024-04-09
385;Cliente 0385;Recorrente;PR;M;55+;2024-03-01
386;Cliente 0386;Novo;BA;Nao informado;35-44;2023-05-28
387;Cliente 0387;Novo;BA;Nao informado;55+;2024-02-13
388;Cliente 0388;Novo;CE;F;35-44;2023-04-19
389;Cliente 0389;Novo;RJ;F;35-44;2024-04-05
390;Cliente 0390;VIP;PE;F;25-34;2024-01-29
391;Cliente 0391;Novo;GO;Nao informado;35-44;2025-04-13
392;Cliente 0392;Recorrente;CE;Nao informado;45-54;2023-07-14
393;Cliente 0393;VIP;CE;F;18-24;2024-05-25
394;Cliente 0394;Recorrente;PR;F;55+;2024-02-07
395;Cliente 0395;Novo;RS;M;55+;2023-12-28
396;Cliente 0396;Recorrente;CE;M;55+;2025-05-13
397;Cliente 0397;VIP;PE;F;35-44;2023-01-09
398;Cliente 0398;Recorrente;PE;M;18-24;2025-01-14
399;Cliente 0399;Novo;DF;F;35-44;2024-02-15
400;Cliente 0400;Novo;PE;Nao informado;45-54;2024-07-20
401;Cliente 0401;Recorrente;GO;Nao informado;55+;2025-02-21
402;Cliente 0402;Novo;RJ;M;35-44;2023-05-02
403;Cliente 0403;Risco;DF;M;25-34;2025-03-24
404;Cliente 0404;Recorrente;PE;Nao informado;18-24;2023-07-23
405;Cliente 0405;Novo;BA;M;55+;2023-02-16
406;Cliente 0406;Novo;DF;F;35-44;2024-04-12
407;Cliente 0407;Novo;PE;Nao informado;35-44;2024-09-19
408;Cliente 0408;Novo;DF;Nao informado;45-54;2024-08-30
409;Cliente 0409;Recorrente;CE;F;35-44;2024-12-26
410;Cliente 0410;Recorrente;PE;Nao informado;35-44;2023-12-06
411;Cliente 0411;VIP;AM;F;55+;2025-03-26
412;Cliente 0412;Novo;AM;Nao informado;55+;2024-04-30
413;Cliente 0413;Recorrente;GO;M;25-34;2023-08-22
414;Cliente 0414;Recorrente;GO;M;25-34;2024-06-20
415;Cliente 0415;Recorrente;SP;Nao informado;18-24;2025-04-21
416;Cliente 0416;Novo;BA;M;25-34;2023-07-15
417;Cliente 0417;Recorrente;PE;Nao informado;55+;2024-02-27
418;Cliente 0418;VIP;SP;Nao informado;25-34;2024-04-27
419;Cliente 0419;Novo;BA;Nao informado;45-54;2024-06-15
420;Cliente 0420;Recorrente;MG;M;55+;2024-06-22
421;Cliente 0421;Recorrente;AM;Nao informado;35-44;2023-12-17
422;Cliente 0422;Recorrente;PR;M;55+;2024-09-16
423;Cliente 0423;Novo;RS;M;25-34;2023-11-02
424;Cliente 0424;Recorrente;BA;M;35-44;2024-12-07
425;Cliente 0425;Risco;RS;M;18-24;2024-07-27
426;Cliente 0426;Recorrente;PE;M;35-44;2024-08-10
427;Cliente 0427;VIP;RS;F;35-44;2025-03-02
428;Cliente 0428;Novo;CE;Nao informado;35-44;2025-01-01
429;Cliente 0429;Recorrente;PR;Nao informado;35-44;2025-02-04
430;Cliente 0430;Recorrente;MG;F;55+;2024-07-29
431;Cliente 0431;Recorrente;PR;F;55+;2025-01-28
432;Cliente 0432;Recorrente;SP;F;45-54;2023-08-20
433;Cliente 0433;Recorrente;RJ;Nao informado;25-34;2023-12-05
434;Cliente 0434;Risco;MG;M;45-54;2023-01-06
